,road_segment_id,road_segment_length,ST_NAME,speed_category,funclass_name,geometry,direction,ST_TYPE,ST_PRE,From,To,To_2,To_3,To_4
7301,1240655983,0.021747985,Scripture,30,Local,"MULTILINESTRING ((2376542.119903672 7129058.943061132, 2376425.876553634 7129061.1052815085))",W,St,,Heritage,,,,
7302,1240658176,0.098797989,Texoma,30,Local,"MULTILINESTRING ((2371101.9377112035 7100195.001216982, 2370958.0455086604 7100196.838267489, 2370896.697576844 7100206.985916321, 2370838.091588423 7100242.637478357, 2370646.3346187314 7100400.332408867))",NW,Ln,,,,,,
7303,1240658177,0.101904844,Lavon,30,Local,"MULTILINESTRING ((2371096.437065835 7099656.434678941, 2371102.3760941112 7099671.063032639, 2371101.9377112035 7100195.001216982))",N,Ln,,Athens,,,,
7304,1240658178,0.04349597,Lavon,30,Local,"MULTILINESTRING ((2371101.9377112035 7100195.001216982, 2371102.082870321 7100427.866935373))",N,Ln,,,,,,
7305,1240658179,0.035418147,Lavon,30,Local,"MULTILINESTRING ((2371102.082870321 7100427.866935373, 2371102.774628039 7100617.077537614))",N,Ln,,Conroe,,,,
7306,1240658183,0.02485484,Conroe,30,Local,"MULTILINESTRING ((2370646.3346187314 7100400.332408867, 2370721.710552924 7100492.237721553, 2370730.755635779 7100503.266371234))",NE,Dr,,Conroe,,,,
7307,1240658184,0.078292746,Conroe,30,Local,"MULTILINESTRING ((2370730.755635779 7100503.266371234, 2370776.0264726207 7100554.771729763, 2370815.4037121907 7100588.010915626, 2370864.099029979 7100610.45126429, 2370915.991403376 7100622.016205783, 2371102.774628039 7100617.077537614))",E,Dr,,Conroe,Lavon,,,
7308,1240658187,0.056544761,Links,30,Local,"MULTILINESTRING ((2377209.6916982234 7101083.447884448, 2377178.531970639 7101126.713899663, 2377153.308319003 7101184.60942786, 2377143.2946177395 7101249.975308333, 2377154.0568282385 7101366.5443803705))",N,Dr,,Ace,Fairway,,,
7309,1240658188,0.098176618,Ace,30,Local,"MULTILINESTRING ((2376708.6038756683 7101011.588834843, 2377042.1972139487 7101015.825987621, 2377088.058319334 7101020.04727365, 2377167.2611028054 7101050.161960163, 2377209.6916982234 7101083.447884448))",E,Ct,,Links,,,,
7310,1240658189,0.057787503,Links,30,Local,"MULTILINESTRING ((2377441.7728026323 7100886.2809568215, 2377392.0182636473 7100947.502804847, 2377209.6916982234 7101083.447884448))",NW,Dr,,Ace,,,,
7311,1240658191,0.07456452,Panhandle,30,Local,"MULTILINESTRING ((2376005.375521138 7129903.553688812, 2376057.126304881 7129922.403061041, 2376133.3389145597 7129941.562926127, 2376255.4636227884 7129957.667169303, 2376392.8768775207 7129973.966008411))",E,Dr,,Heritage,Panhandle,,,
7312,1240747358,0.027340324,I-35E N,70,Interstate,"MULTILINESTRING ((2382661.569206238 7122435.018709623, 2382587.275578158 7122503.193758556, 2382553.257644491 7122531.863829739))",NW,Unknown,,,,,,
7313,1240747462,0.021126614,Hickory Creek,40,Arterial,"MULTILINESTRING ((2396227.779664077 7102917.23360979, 2396160.452883909 7102916.337948077, 2396114.499873336 7102919.365246262))",W,Ln,,,,,,
7314,1240747463,0.055302019,Hickory Creek,40,Arterial,"MULTILINESTRING ((2396114.499873336 7102919.365246262, 2396065.4865646213 7102922.351910323, 2396022.5455044815 7102929.057935589, 2395976.495785509 7102939.361222926, 2395893.4806272225 7102967.3658366045, 2395831.936075369 7102992.01750351))",W,Ln,,,,,,
